iter	MAE	RMSE
2465	0.134322339	0.2074038658
2470	0.1342730614	0.2073235972
2475	0.1342251315	0.2072493696
2480	0.1341675881	0.2071563692
2485	0.134105795	0.2070590263
2490	0.1340530241	0.2069920376
2495	0.1339890717	0.2069067403
2500	0.1339377723	0.2068147995
2505	0.133899896	0.2067463181
2510	0.1338556658	0.2066760339
2515	0.1338036512	0.2065931609
2520	0.1337518567	0.2065269367
2525	0.1337032116	0.2064461939
2530	0.1336550892	0.2063681602
2535	0.1335746743	0.2062704204
2540	0.1335351339	0.2062079776
2545	0.1334961986	0.2061393363
2550	0.1334583361	0.2060760113
2555	0.1333980971	0.2059721818
2560	0.1333553384	0.2058978427
2565	0.133298634	0.2058059107
2570	0.1332528634	0.2057220353
2575	0.1332128829	0.2056566842
2580	0.1331696154	0.2055944313
2585	0.1331266504	0.2055109548
2590	0.1330815674	0.2054345492
2595	0.133032331	0.2053561311
2600	0.132988252	0.2052780348
2605	0.1329376953	0.2051926869
2610	0.1328983887	0.205124502
2615	0.1328534157	0.2050374301
2620	0.1328166122	0.2049776478
2625	0.1327662755	0.2048899094
2630	0.1327233243	0.2048191644
2635	0.1326810608	0.2047380588
2640	0.1326428957	0.204669546
2645	0.1325984178	0.2045857678
2650	0.1325442715	0.2045085542
2655	0.1325032595	0.2044255929
2660	0.1324622062	0.2043569923
2665	0.1324054743	0.2042660584
2670	0.1323586172	0.2041927989
2675	0.1323066026	0.2041062138
2680	0.132255482	0.2040358628
2685	0.1322140987	0.2039602195
2690	0.1321744482	0.2038973728
2695	0.1321235752	0.2038170138
2700	0.1320643402	0.2037222778
2705	0.1320132196	0.2036481726
2710	0.131959252	0.2035658657
2715	0.1319180062	0.2034789548
2720	0.1318529124	0.2033940099
2725	0.1318106213	0.2033148386
2730	0.1317623476	0.2032479438
2735	0.1317221608	0.2031785648
2740	0.1316789758	0.2031073169
2745	0.1316408519	0.203044875
2750	0.1316042272	0.2029888846
2755	0.1315578652	0.2029099619
2760	0.1315174445	0.2028370516
2765	0.1314755523	0.2027641152
2770	0.1314322848	0.2026927046
2775	0.131389196	0.2026236445
2780	0.131337319	0.202535107
2785	0.1312960044	0.2024621382
2790	0.1312659124	0.2024129681
2795	0.1312326847	0.2023637011
2800	0.131184356	0.2023066213
2805	0.1311492029	0.2022435328
2810	0.1311141185	0.2021783838
2815	0.1310598484	0.202086291
2820	0.131016292	0.2020121303
2825	0.1309759677	0.2019441144
2830	0.1309289455	0.2018638976
2835	0.1308841514	0.2017967859
2840	0.1308417503	0.2017286463
2845	0.1307857748	0.2016688806
2850	0.1307442677	0.2015919569
2855	0.1307039571	0.2015380706
2860	0.1306655031	0.2014746646
2865	0.1306258665	0.2013992203
2870	0.1305901769	0.2013378113
2875	0.1305473632	0.2012559006
2880	0.1305048109	0.2011887314
2885	0.1304656968	0.2011198815
2890	0.1304248498	0.2010529661
2895	0.130380537	0.2009814778
2900	0.1303204493	0.2008899402
2905	0.1302761366	0.2008181029
2910	0.1302136008	0.2007286576
2915	0.1301753119	0.2006714126
2920	0.1301305178	0.2006024023
2925	0.1300945669	0.2005384861
2930	0.1300453718	0.2004639758
2935	0.12999476	0.2003944823
2940	0.1299387983	0.2003132672
2945	0.129890112	0.200234844
2950	0.1298336964	0.2001561753
2955	0.1297809804	0.2000718733
2960	0.1297394733	0.2000146466
2965	0.1296947617	0.1999413512
2970	0.1296489223	0.1998658184
2975	0.1295986131	0.1997913154
2980	0.1295598016	0.1997285771
2985	0.1295101113	0.1996465057
2990	0.1294706397	0.1995791652
2995	0.1294293939	0.19951387
2999	0.12940732	0.1994784867
