iter	Passed	Remaining
740	54939	167487
741	55040	167496
742	55140	167498
743	55235	167489
744	55330	167477
745	55419	167446
746	55526	167471
747	55631	167488
748	55732	167495
749	55840	167520
750	55944	167534
751	56051	167557
752	56165	167601
753	56266	167606
754	56365	167603
755	56468	167613
756	56565	167604
757	56664	167601
758	56760	167589
759	56853	167568
760	56947	167548
761	57035	167513
762	57134	167509
763	57225	167482
764	57323	167473
765	57426	167480
766	57519	167460
767	57622	167465
768	57718	167451
769	57820	167454
770	57914	167434
771	58011	167421
772	58129	167470
773	58233	167476
774	58336	167482
775	58407	167394
776	58502	167376
777	58599	167363
778	58696	167348
779	58798	167349
780	58894	167332
781	58991	167317
782	59095	167322
783	59198	167325
784	59290	167296
785	59389	167287
786	59496	167300
787	59591	167280
788	59710	167326
789	59808	167313
790	59910	167309
791	60013	167310
792	60124	167333
793	60225	167327
794	60317	167296
795	60415	167282
796	60506	167248
797	60609	167245
798	60708	167234
799	60798	167195
800	60903	167200
801	61004	167192
802	61104	167180
803	61207	167179
804	61310	167176
805	61412	167169
806	61518	167173
807	61608	167134
808	61702	167108
809	61803	167099
810	61908	167098
811	62016	167108
812	62121	167108
813	62223	167101
814	62316	167068
815	62421	167069
816	62527	167072
817	62635	167077
818	62747	167097
819	62860	167117
820	62974	167140
821	63057	167080
822	63159	167070
823	63259	167055
824	63363	167049
825	63468	167045
826	63569	167033
827	63677	167037
828	63784	167039
829	63882	167017
830	63987	167013
831	64081	166981
832	64189	166985
833	64288	166965
834	64395	166965
835	64496	166949
836	64597	166935
837	64700	166924
838	64801	166909
839	64902	166891
840	65001	166869
841	65098	166843
842	65186	166793
843	65286	166773
844	65392	166769
845	65499	166768
846	65605	166762
847	65704	166740
848	65806	166724
849	65897	166681
850	66011	166695
851	66123	166705
852	66234	166712
853	66343	166714
854	66468	166753
855	66588	166783
856	66703	166797
857	66823	166825
858	66933	166828
859	67044	166831
860	67138	166793
861	67245	166786
862	67345	166763
863	67453	166760
864	67564	166763
865	67678	166772
866	67809	166824
